field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-60 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-61 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-62 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-63 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-64 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-65 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-66 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-67 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-68 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-69 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-70 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-71 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-72 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-73 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-74 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-75 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-76 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-77 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-78 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-79 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-80 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-81 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-82 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-83 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-84 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-85 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-86 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-87 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-88 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-89 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-90 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-91 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-92 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-93 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-94 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-95 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-96 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-97 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-98 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
-99 , 0.31515522 , 0.31631427, 0.00028514826 , 0.31487007 , 0.31602913,, 0.00028514826 , 0.031605166 , 0.33153733 , 0.29993217 
